,,Competent,"Uses retrieval grounding, prompt structure, or model choice to reduce hallucination risk"
,,Proficient,"Evaluates hallucination rates systematically, designs verification workflows or filters"
,,Expert,"Develops mitigation techniques (e.g., response calibration, post-generation validation); shares findings or publishes benchmarks"
,Use of guardrails and moderation APIs,Beginner,Knows that AI outputs may need filtering; may use UI-based moderation settings
,,Novice,"Applies prebuilt guardrails or content filters (e.g., OpenAI moderation API, Azure Content Safety)"
,,Competent,"Implements structured safety checks using multiple layers (pre-/post-filtering, rule-based)"
,,Proficient,Builds custom guardrails aligned to business or user-specific safety thresholds
,,Expert,"Develops reusable moderation pipelines, influences policy frameworks, or contributes to safety tooling"
,Logging and feedback collection,Beginner,Can manually track responses or see history in a basic tool interface
,,Novice,Captures and reviews model inputs/outputs via application logs or lightweight tooling
,,Competent,"Implements structured logging with metadata (e.g., user IDs, latency, token usage) for observability"
,,Proficient,Builds feedback loops into applications; aggregates logs for analytics and error tracing
,,Expert,"Designs systems for longitudinal performance tracking, user feedback analysis, and dynamic model improvements"
"AI Ethics, Risk & Governance",Understanding responsible AI principles,Beginner,"Aware that AI can introduce risks or bias; has heard terms like fairness, transparency, and accountability"
,,Novice,Can describe key responsible AI principles and cite examples of harm or unintended outcomes
,,Competent,Applies RAI principles to guide design or decision-making in practical projects
,,Proficient,"Leads ethical reviews, creates checklists or standards for RAI adoption within teams"
,,Expert,Shapes organizational policy or frameworks for responsible AI; contributes to thought leadership or academic discussion
,Data privacy and model misuse risks,Beginner,Knows that sensitive data should not be shared with AI tools; aware of basic privacy concerns
,,Novice,"Understands PII, data retention, and consent principles; avoids using private data in prompts"
,,Competent,"Implements privacy-aware workflows (e.g., anonymization, encryption, audit logs)"
,,Proficient,"Anticipates potential misuse scenarios and develops countermeasures (e.g., prompt injection protection)"
,,Expert,Guides governance decisions on data use and misuse risks at scale; contributes to regulatory guidance or standards
,"Regulatory awareness (e.g., EU AI Act, NIST RMF)",Beginner,Aware that regulations exist but not familiar with names or implications
,,Novice,"Recognizes key frameworks and can describe basic obligations (e.g., risk tiers in EU AI Act)"
,,Competent,Ensures AI systems comply with relevant laws and standards; participates in compliance reviews
,,Proficient,Maps technical decisions to regulatory categories and designs compliant system architectures
,,Expert,Advises on or helps shape policy and regulation at the organizational or industry level
,"Documentation practices (model cards, data sheets, auditability)",Beginner,Understands that documentation is important but may not know what model cards are
,,Novice,"Can read and use model documentation (e.g., model cards, data statements) to make basic decisions"
,,Competent,"Produces model documentation, tracks data lineage, and maintains reproducibility in AI workflows"
,,Proficient,Builds documentation processes into development pipelines; aligns artifacts with compliance needs
,,Expert,Defines standards for documentation quality and consistency; advocates for transparency and traceability at scale
Use Case Identification,Framing business problems for AI,Beginner,Understands that AI is more useful when applied to business problems (not just tasks) and can identify general problem categories
,,Novice,Helps clients reframe tasks or ideas as outcomes-driven problems and can distinguish between well-posed vs ambiguous use cases
,,Competent,Translates client pain points into AI-suitable problem statements and avoids jumping to solutions too early
,,Proficient,Guides clients through structured problem-framing sessions and ensures alignment with organizational goals
,,Expert,Teaches and scales problem-framing best practices across teams and contributes to shaping how clients define their AI roadmap
,Assessing AI fit and solution type,Beginner,"Understands that not all problems are AI problems and can identify broad AI categories (e.g., classification, generation)"
,,Novice,"Uses simple criteria to assess fit (e.g., need for pattern recognition, ambiguous rules, data availability)"
,,Competent,"Applies structured fit assessment methods and maps problems to appropriate AI solutions (e.g., summarization, RAG, NLP)"
,,Proficient,"Advises on trade-offs of different AI solutions given constraints, and matches fit to client maturity and risk tolerance"
,,Expert,Shapes methodology for assessing fit across engagements and is recognized for judgment on when to recommend or avoid AI
,Scoping technical feasability,Beginner,Understands that data and infrastructure affect AI outcomes and is aware of basic prerequisites
,,Novice,"Can ask questions about data readiness, model access, and governance to gauge viability"
,,Competent,"Assesses feasibility using client inputs on data quality, APIs, and compute; flags blockers early"
,,Proficient,Works with technical teams to refine scope based on system constraints and delivery realities
,,Expert,Leads technical due diligence and scopes realistic pathways forward even in low-maturity environments
,Estimating value and prioritizing opportunities,Beginner,Understands that not all AI projects are equally valuable. Aware of basic business impact categories
,,Novice,"Uses templates to estimate potential gains (e.g., cost savings, efficiency) and classify value levels"
,,Competent,Prioritizes use cases based on effort vs value; considers adoption complexity and outcome alignment
,,Proficient,"Builds lightweight business cases and recommends sequencing based on ROI, impact, and feasibility"
,,Expert,Shapes client roadmaps based on strategic value. Aligns opportunity assessment with executive priorities
,Avoiding overengineering,Beginner,"Aware that AI isn't always the right answer, and recognizes when simpler solutions might work."
,,Novice,"Flags potential overuse of AI (e.g., chatbots for static FAQs); can suggest simpler alternatives"
,,Competent,Regularly challenges solution choices with 'what problem are we solving' and 'is AI necessary' lenses
,,Proficient,"Guides teams away from unnecessary complexity; reframes efforts toward lean, impact-driven solutions"
,,Expert,"Influences client culture to be skeptical of AI hype; advocates for responsible, grounded solutioning"
,Aliging use cases with client goals and readiness,Beginner,"Understands that client culture, goals, and maturity impact success, and is aware of basic readiness factors"
,,Novice,Identifies misalignments between use cases and client expectations or capabilities
,,Competent,"Proactively adjusts recommendations based on readiness, change appetite, and stakeholder dynamics"
,,Proficient,Facilitates alignment across client roles and stages use cases based on near- and long-term value
,,Expert,"Shapes strategy based on deep client understanding; ensures buy-in, sustainability, and outcome alignment"
Project Management,Managing uncertainty and iteration,Beginner,"AI outcomes are often non-deterministic and require experimentation, which makes scope fluid"
,,Novice,"Success depends on data quality and availability, not just building code — requires data profiling and stakeholder coordination"
,,Competent,"AI projects must include success metrics, human feedback paths, and model evaluation workflows"
,,Proficient,"Teams must manage trade-offs between exploration (e.g., prompt tuning, model comparison) and shippable product features"
,,Expert,"AI work spans data science, engineering, product, and sometimes compliance/legal — alignment is key"
,Data-aware scoping and planning,Beginner,"Aware that data quality and availability impact AI outcomes, and recognizes that planning requires more than just feature specs"
,,Novice,"Asks questions about data sources, volume, and accessibility; surfaces early risks tied to missing or low-quality data"
,,Competent,Integrates data readiness into scope definitions and coordinates with data owners to assess feasibility before committing to timelines
,,Proficient,"Anticipates downstream risks from poor or biased data, and builds in buffer time for discovery, profiling, cleaning, or augmentation tasks"
,,Expert,Leads data scoping alongside solution architecture and establishes best practices for aligning delivery scope with real-world data constraints; mentors teams to treat data as a first-class deliverable
,Designing feedback loops and evalutation plans,Beginner,"Understands that AI systems need to be evaluated beyond “it runs"" and recognizes that human feedback is often required"
,,Novice,"Tracks basic evaluation metrics (e.g., accuracy, latency) and logs model behavior; is aware that outputs need validation."
,,Competent,"Plans for human review or user feedback in early stages and etablishes evaluation criteria tied to the business goal (e.g., relevance, helpfulness)"
,,Proficient,Designs feedback loops (manual or automated) into delivery plans and adjusts scope based on test outcomes or live usage signals
,,Expert,"Leads model evaluation strategy across engagements and builds repeatable systems for feedback-driven improvement; coaches teams on metrics, bias detection, and post-deployment monitoring"
,Balancing research and delivery,Beginner,Understands that AI projects involve exploratory work and notices when team activities shift between experimentation and delivery
,,Novice,"Tracks exploratory work alongside deliverables, and helps capture what’s “good enough” to move forward while documenting open questions"
,,Competent,Plans projects with space for iteration while driving toward deadlines and keeps clients aligned when priorities shift from R&D to shipping
,,Proficient,"Manages scope creep from over-experimentation; helps teams define MVP boundaries, deliver iterative value, and timebox research efforts"
,,Expert,"Leads projects where experimentation is an asset, not a risk; aligns R&D phases to business goals, mentors others in making pragmatic trade-offs, and ensures project momentum"
,Orchestrating cross-disciplinary teams,Beginner,Understands that AI projects require cross-functional input. Aware that roles and expectations may differ from traditional dev teams
,,Novice,Facilitates coordination between data and product teams. Tracks dependencies and flags when disconnects arise
,,Competent,"Actively manages alignment across disciplines (e.g., data availability, model behavior, UX implications). Leads shared planning sessions and syncs"
,,Proficient,"Anticipates misalignment across roles and surfaces it early; designs workflows that keep engineering, ML, and business needs in sync"
,,Expert,"Creates high-functioning, cross-disciplinary AI teams, and builds repeatable practices for aligning priorities, pacing, and language across domains; mentors others on navigating AI collaboration friction points"
